company,issuer_name,fund,registrant,series_id,cik,accession,report_date,units,balance,val_usd,price_per_share,pct_val,asset_cat,fair_val_level,restricted,cusip
Canva,CANVA SERIES A-4 CVT PFD STOCK PP,T. Rowe Price Institutional Large-Cap Core Growth Fund,"T. Rowe Price Equity Funds, Inc.",S000002096,1012968,0001099263-26-006604,2026-03-31,NS,2.000000,2992.840000,1496.4200,0.0001225555,EP,3,Y,000000000
Canva,CANVA CLASS B COMMON STOCK PP,"T. Rowe Price Blue Chip Growth Fund, Inc.","T. ROWE PRICE BLUE CHIP GROWTH FUND, INC.",S000002069,902259,0001099263-26-006586,2026-03-31,NS,58155.000000,87024305.100000,1496.4200,0.1480181304,EC,3,Y,TC1HS9QX6
Canva,CANVA SERIES A CVT PFD STOCK PP,"T. Rowe Price Blue Chip Growth Fund, Inc.","T. ROWE PRICE BLUE CHIP GROWTH FUND, INC.",S000002069,902259,0001099263-26-006586,2026-03-31,NS,3669.000000,5490364.980000,1496.4200,0.0093384665,EP,3,Y,TC0R8VGD3
Canva,CANVA SERIES A-3 CVT PFD STOCK PP,"T. Rowe Price Blue Chip Growth Fund, Inc.","T. ROWE PRICE BLUE CHIP GROWTH FUND, INC.",S000002069,902259,0001099263-26-006586,2026-03-31,NS,410.000000,613532.200000,1496.4200,0.0010435463,EP,3,Y,000000000
Canva,CANVA SERIES A-4 CVT PFD STOCK PP,"T. Rowe Price Blue Chip Growth Fund, Inc.","T. ROWE PRICE BLUE CHIP GROWTH FUND, INC.",S000002069,902259,0001099263-26-006586,2026-03-31,NS,45.000000,67338.900000,1496.4200,0.0001145356,EP,3,Y,000000000
Canva,CANVA SERIES A-5 CVT PFD STOCK PP,"T. Rowe Price Blue Chip Growth Fund, Inc.","T. ROWE PRICE BLUE CHIP GROWTH FUND, INC.",S000002069,902259,0001099263-26-006586,2026-03-31,NS,8.000000,11971.360000,1496.4200,0.0000203619,EP,3,Y,000000000
Canva,CANVA CLASS B COMMON STOCK PP,T. Rowe Price Communications & Technology Fund,"T. ROWE PRICE COMMUNICATIONS & TECHNOLOGY FUND, INC.",S000002101,910671,0001099263-26-006587,2026-03-31,NS,23072.000000,34525402.240000,1496.4200,0.4270568196,EC,3,Y,TC1HS9QX6
Canva,CANVA SERIES A CVT PFD STOCK PP,T. Rowe Price Communications & Technology Fund,"T. ROWE PRICE COMMUNICATIONS & TECHNOLOGY FUND, INC.",S000002101,910671,0001099263-26-006587,2026-03-31,NS,1502.000000,2247622.840000,1496.4200,0.0278016359,EP,3,Y,TC0R8VGD3
Canva,CANVA SERIES A-3 CVT PFD STOCK PP,T. Rowe Price Communications & Technology Fund,"T. ROWE PRICE COMMUNICATIONS & TECHNOLOGY FUND, INC.",S000002101,910671,0001099263-26-006587,2026-03-31,NS,216.000000,323226.720000,1496.4200,0.0039981048,EP,3,Y,000000000
Canva,CANVA SERIES A-4 CVT PFD STOCK PP,T. Rowe Price Communications & Technology Fund,"T. ROWE PRICE COMMUNICATIONS & TECHNOLOGY FUND, INC.",S000002101,910671,0001099263-26-006587,2026-03-31,NS,23.000000,34417.660000,1496.4200,0.0004257241,EP,3,Y,000000000
Canva,CANVA SERIES A-5 CVT PFD STOCK PP,T. Rowe Price Communications & Technology Fund,"T. ROWE PRICE COMMUNICATIONS & TECHNOLOGY FUND, INC.",S000002101,910671,0001099263-26-006587,2026-03-31,NS,2.000000,2992.840000,1496.4200,0.0000370195,EP,3,Y,000000000
