company,dt,fund,house,lines,lo_line,hi_line,balance,val_usd,net_assets,SERIES_ID,REGISTRANT_NAME,own_pps,one_price,n_houses,n_funds,spread_pct,consensus_pps,house_pps,repriced_usd,wedge_usd,wedge_bps,own_vs_consensus_pct,position_pct_of_nav
NM:EPIC GAMES,2021-03-31,0001809541BlackRock Capital Allocation Trust,BlackRock,1,885.0,885.0,2824.0,2499240.0,2386870933.4,,BlackRock Capital Allocation Trust,885.0,True,10,25,53.91304347826087,885.0,885.0,2499240.0,0.0,0.0,0.0,0.10470779818998989
NM:EPIC GAMES,2021-03-31,S000002085,T. Rowe Price,1,885.0,885.0,58355.0,51644175.0,8366971753.07,S000002085,"T. ROWE PRICE GLOBAL TECHNOLOGY FUND, INC.",885.0,True,10,25,53.91304347826087,885.0,885.0,51644175.0,0.0,0.0,0.0,0.6172385484754479
NM:EPIC GAMES,2021-03-31,S000002087,T. Rowe Price,1,885.0,885.0,265093.0,234607305.0,69285170281.7,S000002087,"T. ROWE PRICE GROWTH STOCK FUND, INC.",885.0,True,10,25,53.91304347826087,885.0,885.0,234607305.0,0.0,0.0,0.0,0.3386111400839926
NM:EPIC GAMES,2021-03-31,S000002101,T. Rowe Price,1,885.0,885.0,37263.0,32977755.0,10838691734.99,S000002101,"T. ROWE PRICE COMMUNICATIONS & TECHNOLOGY FUND, INC.",885.0,True,10,25,53.91304347826087,885.0,885.0,32977755.0,0.0,0.0,0.0,0.3042595527792306
NM:EPIC GAMES,2021-03-31,S000002119,T. Rowe Price,1,885.0,885.0,55791.0,49375035.0,9842232410.46,S000002119,"T. ROWE PRICE SCIENCE & TECHNOLOGY FUND, INC.",885.0,True,10,25,53.91304347826087,885.0,885.0,49375035.0,0.0,0.0,0.0,0.5016649977450832
NM:EPIC GAMES,2021-03-31,S000002887,BlackRock,1,885.0,885.0,14282.0,12639570.0,8692121179.14,S000002887,"BlackRock Variable Series Funds, Inc.",885.0,True,10,25,53.91304347826087,885.0,885.0,12639570.0,0.0,0.0,0.0,0.14541410249011924
NM:EPIC GAMES,2021-03-31,S000003866,BlackRock,1,885.0,885.0,330.0,292050.0,199931018.84,S000003866,"BlackRock Series Fund, Inc.",885.0,True,10,25,53.91304347826087,885.0,885.0,292050.0,0.0,0.0,0.0,0.14607538224657407
NM:EPIC GAMES,2021-03-31,S000006036,Fidelity,1,885.0,885.0,23900.0,21151500.0,24145373182.98,S000006036,Fidelity Contrafund,885.0,True,10,25,53.91304347826087,885.0,885.0,21151500.0,0.0,0.0,0.0,0.08760063404159613
NM:EPIC GAMES,2021-03-31,S000006037,Fidelity,1,885.0,885.0,123700.0,109474500.0,131820016452.69,S000006037,Fidelity Contrafund,885.0,True,10,25,53.91304347826087,885.0,885.0,109474500.0,0.0,0.0,0.0,0.08304846482801816
NM:EPIC GAMES,2021-03-31,S000006528,Brighthouse,1,885.0,885.0,7860.0,6956100.0,2723301185.18,S000006528,Brighthouse Funds Trust II,885.0,True,10,25,53.91304347826087,885.0,885.0,6956100.0,0.0,0.0,0.0,0.255428963856608
NM:EPIC GAMES,2021-03-31,S000007019,Fidelity,1,885.0,885.0,2244.0,1985940.0,3070226638.35,S000007019,Fidelity Hastings Street Trust,885.0,True,10,25,53.91304347826087,885.0,885.0,1985940.0,0.0,0.0,0.0,0.0646838241579222
NM:EPIC GAMES,2021-03-31,S000007609,Voya,1,885.0,885.0,5531.0,4894935.0,1956728448.21,S000007609,Voya Partners Inc,885.0,True,10,25,53.91304347826087,885.0,885.0,4894935.0,0.0,0.0,0.0,0.2501591370267984
NM:EPIC GAMES,2021-03-31,S000007717,Fidelity,1,885.0,885.0,5869.0,5194065.0,8030521103.29,S000007717,Variable Insurance Products Fund,885.0,True,10,25,53.91304347826087,885.0,885.0,5194065.0,0.0,0.0,0.0,0.06467905299286318
NM:EPIC GAMES,2021-03-31,S000007724,Fidelity,1,885.0,885.0,18849.0,16681365.0,21254293811.85,S000007724,Variable Insurance Products Fund II,885.0,True,10,25,53.91304347826087,885.0,885.0,16681365.0,0.0,0.0,0.0,0.07848468242543805
NM:EPIC GAMES,2021-03-31,S000007730,Fidelity,1,885.0,885.0,1812.0,1603620.0,6344551879.53,S000007730,Variable Insurance Products Fund III,885.0,True,10,25,53.91304347826087,885.0,885.0,1603620.0,0.0,0.0,0.0,0.025275543969841337
NM:EPIC GAMES,2021-03-31,S000007731,Fidelity,1,885.0,885.0,156.0,138060.0,216303858.81,S000007731,Variable Insurance Products Fund III,885.0,True,10,25,53.91304347826087,885.0,885.0,138060.0,0.0,0.0,0.0,0.06382687796673617
NM:EPIC GAMES,2021-03-31,S000007733,Fidelity,1,885.0,885.0,8216.0,7271160.0,3098026096.53,S000007733,Variable Insurance Products Fund III,885.0,True,10,25,53.91304347826087,885.0,885.0,7271160.0,0.0,0.0,0.0,0.23470299388840504
NM:EPIC GAMES,2021-03-31,S000008055,SEASONS SERIES TRUST,1,885.0,885.0,1876.0,1660260.0,442900506.54,S000008055,SEASONS SERIES TRUST,885.0,True,10,25,53.91304347826087,885.0,885.0,1660260.0,0.0,0.0,0.0,0.3748607137458886
NM:EPIC GAMES,2021-03-31,S000009495,FPA,1,575.0,575.0,33130.0,19049750.0,10475107266.3,S000009495,FPA FUNDS TRUST,575.0,True,10,25,53.91304347826087,885.0,575.0,29320050.0,-10270300.0,-9.804481938854321,-35.02824858757062,0.18185732628520113
