sectors,n_sectors,n_favored,p_one_sided,median_gap_diff_pts,rank,contains_paper_core
AI+Data/AI+Defense+Quantum+Robotics,5,9,0.050833099186066114,15.03508771929824,116,True
Data/AI+Defense+Energy+FinTech+Semiconductors,5,9,0.050833099186066114,13.268421052631584,117,False
Data/AI+Defense+Robotics,3,5,0.05104071901054547,11.18416908412765,118,False
AI+Data/AI+Defense+FinTech+Quantum+Robotics,6,12,0.05104071901054547,20.333333333333325,119,True
Data/AI+Defense+Quantum+Robotics+Semiconductors,5,7,0.05356559681768571,11.18416908412765,120,False
Defense+FinTech+Semiconductors,3,6,0.05380306065590875,13.035651793525815,121,False
AI+Crypto+Data/AI+Defense+Quantum+Robotics+Semiconductors,7,11,0.05380306065590875,15.03508771929824,122,True
AI+Data/AI+Defense+Energy+Robotics+SaaS+Semiconductors,7,11,0.05380306065590875,18.225563909774433,123,True
AI+Defense+FinTech,3,8,0.05606553780301397,11.736842105263156,124,False
AI+Data/AI+Defense+Energy+FinTech+Logistics+SaaS+Semiconductors,8,14,0.05753389470994299,26.71428571428571,125,True
AI+Crypto+Data/AI+Defense+FinTech+Logistics+Quantum+Semiconductors,8,14,0.05753389470994299,20.333333333333325,126,True
AI+Data/AI+Defense+FinTech+Logistics+Quantum+Robotics+SaaS+Semiconductors,9,15,0.058650016193786327,30.34166666666666,127,True
AI+Crypto+Data/AI+Defense+Energy+FinTech+Quantum+Robotics+Semiconductors,9,15,0.058650016193786327,27.32296650717703,128,True
AI+Defense+SaaS+Semiconductors,4,7,0.05909715702752337,13.398057973016535,129,False
AI+Data/AI+Robotics+Semiconductors,4,7,0.05909715702752337,15.03508771929824,130,False
AI+Data/AI+Defense+Quantum+SaaS+Semiconductors,6,10,0.05909715702752337,11.744716121011189,131,True
Data/AI+Defense+Energy+FinTech+Robotics+Semiconductors,6,10,0.05909715702752337,11.736842105263156,132,False
Crypto+Data/AI+Defense+Semiconductors,4,6,0.059526120135230114,20.80787401574804,133,False
AI+Defense+Energy+FinTech+Logistics+Semiconductors,6,11,0.059526120135230114,17.871031746031747,134,False
AI+Defense+Energy+Logistics+Robotics+Semiconductors,6,9,0.061713785148123756,17.871031746031747,135,False
AI+Data/AI+Defense+Energy+Logistics,5,9,0.061713785148123756,17.75714285714286,136,True
AI+Crypto+Data/AI+Defense,4,8,0.061713785148123756,11.744716121011189,137,True
AI+Crypto+Defense+Robotics+Semiconductors,5,8,0.061713785148123756,11.744716121011189,138,False
AI+Defense+Logistics+Quantum+Semiconductors,5,8,0.061713785148123756,11.035651793525814,139,False
Data/AI+Defense+FinTech+Quantum+Semiconductors,5,9,0.061713785148123756,13.268421052631584,140,False
AI+Data/AI+Defense+Energy+FinTech+Logistics+Robotics,7,13,0.06306884715648663,33.53214285714285,141,True
Defense+Energy+Semiconductors,3,4,0.06306884715648663,20.80787401574804,142,False
AI+Data/AI+Defense+Energy+FinTech+Logistics,6,12,0.06308617381889482,26.71428571428571,143,True
AI+Defense+Energy+FinTech+Logistics+Robotics+Semiconductors,7,12,0.06308617381889482,26.71428571428571,144,False
Data/AI+Defense+Energy+Logistics+Semiconductors,5,7,0.0650671080364986,10.715748031496076,145,False
AI+Crypto+Defense+FinTech+Semiconductors,5,10,0.0650671080364986,11.736842105263156,146,False
AI+Data/AI+Defense+Quantum+Robotics+SaaS+Semiconductors,7,11,0.06571569192283053,15.03508771929824,147,True
AI+Crypto+Data/AI+Defense+Energy+Logistics+Semiconductors,7,11,0.06571569192283053,17.75714285714286,148,True
AI+Defense+Logistics,3,6,0.06571569192283053,11.035651793525814,149,False
