company,security,acquired,acquired_last,lots_spanned,cost,value,markup_pct,shares,in_thousands,doc,cost_per_share,mark_per_share,filer,cik,adsh,form,file_date,period
Canva,"Canva, Inc., Series A",11/04/2021,11/04/2021,1,3410.0,3408.0,-0.058651026392964045,2.0,False,https://www.sec.gov/Archives/edgar/data/892538/000119312522100273/d261779dncsr.htm,1705.0,1704.0,SUNAMERICA SERIES TRUST  (CIK 0000892538),0000892538,0001193125-22-100273,N-CSR,2022-04-08,2022-01-31
Canva,"Canva, Inc.1,2",8/26/2021,11/4/2021,2,18022000.0,13532000.0,-24.91399400732438,,True,https://www.sec.gov/Archives/edgar/data/1073330/000114554925045889/8ddb358331844f0.htm,,,NEW WORLD FUND INC  (CIK 0001073330),0001073330,0001145549-25-045889,N-CSRS,2025-07-07,2025-04-30
Canva,"Canva, Inc.1,3",8/26/2021,11/4/2021,2,64403000.0,48357000.0,-24.91498843221589,,True,https://www.sec.gov/Archives/edgar/data/719603/000114554925037482/8dd9ed14bebbf9c.htm,,,EUPAC FUND  (CIK 0000719603),0000719603,0001145549-25-037482,N-CSR,2025-05-30,2025-03-31
Canva,"Horizon  Strategic Partners, LP - Series Canva 1 (economic exposure to",6/24/2025,6/24/2025,1,6782818.0,6574654.0,-3.0689899095036943,,False,https://www.sec.gov/Archives/edgar/data/2052053/000121390026066274/ea0293124-01_ncsrs.htm,,,Powerlaw Corp.  (PWRL)  (CIK 0002052053),0002052053,0001213900-26-066274,N-CSRS,2026-06-08,2026-03-31
Canva,"Horizon Strategic Partners, LP - Series Canva 1 (g)",6/24/2025,6/24/2025,1,16062500.0,15935230.0,-0.7923424124513634,,False,https://www.sec.gov/Archives/edgar/data/2052053/000121390025123946/ea0269626-01_ncsr.htm,,,Powerlaw Corp.  (PWRL)  (CIK 0002052053),0002052053,0001213900-25-123946,N-CSR,2025-12-19,2025-09-30
Databricks,"Brantling  Holdings, LLC (economic exposure to Databricks, Inc. and Sp",1/16/2025,1/16/2025,1,15986537.0,28296506.0,77.00209870342776,,False,https://www.sec.gov/Archives/edgar/data/2052053/000121390026066274/ea0293124-01_ncsrs.htm,,,Powerlaw Corp.  (PWRL)  (CIK 0002052053),0002052053,0001213900-26-066274,N-CSRS,2026-06-08,2026-03-31
Databricks,"DA-1125 Gaingels Fund II (invested in Databricks, Inc. Series L Prefer",12/11/25,12/11/25,1,7687562.0,7500060.0,-2.4390307356220386,,False,https://www.sec.gov/Archives/edgar/data/1843974/000121390026025304/ea0276106-01_ncsr.htm,,,Destiny Tech100 Inc.  (DXYZ)  (CIK 0001843974),0001843974,0001213900-26-025304,N-CSR,2026-03-10,2025-12-31
Databricks,Databricks  Inc Series G,02/01/2021,02/01/2021,1,647570.0,647578.0,0.001235387680087463,,False,https://www.sec.gov/Archives/edgar/data/356476/000119312521256068/d198905dncsrs.htm,,,GREAT-WEST FUNDS INC  (CIK 0000356476),0000356476,0001193125-21-256068,N-CSRS,2021-08-25,2021-06-30
Databricks,Databricks  Inc Series G 0.00%(b),02/01/2021,02/01/2021,1,340724.0,421621.0,23.742677357626697,,False,https://www.sec.gov/Archives/edgar/data/356476/000119312523223795/d454730dncsrs.htm,,,"EMPOWER FUNDS, INC.  (CIK 0000356476)",0000356476,0001193125-23-223795,N-CSRS,2023-08-29,2023-06-30
Databricks,Databricks  Inc Series G 0.00%(b),02/01/2021,02/01/2021,1,647570.0,657180.0,1.484009450715762,,False,https://www.sec.gov/Archives/edgar/data/356476/000119312523054674/d449799dncsr.htm,,,"EMPOWER FUNDS, INC.  (CIK 0000356476)",0000356476,0001193125-23-054674,N-CSR,2023-03-01,2022-12-31
